Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10W,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
BTT,34.1,34.1,0.0,0.0,0.0,0.0,395.0,637.0,40.5,25.1,2854.0,11.9,460.0,13.5,24.1,0.16,12.0,2390.0,1.6135458167330676,34177.21518987342
BTU,6.8,6.8,0.0,0.0,0.0,0.0,16.0,10.0,9.7,4.2,562.0,12.1,24.0,3.6,12.1,0.0,15.0,0.0,2.3095238095238093,225000.0
BTV,20.6,20.6,0.0,0.0,0.0,0.0,253.0,0.0,35.0,14.7,1132.0,18.2,515.0,25.0,10.4,0.0,10.0,0.0,2.380952380952381,98814.22924901186
BTW,15.0,16.3,15.0,15.0,15.0,100.0,1323.0,2410.0,23.3,13.2,288.0,52.1,140.0,9.36,15.7,-0.47,9.0,0.0,1.7651515151515154,7074.8299319727885
BUD,11.8,11.8,0.0,0.0,0.0,0.0,3375.0,3093.0,19.0,10.5,0.0,0.0,41.0,3.51,0.0,0.0,0.0,0.0,1.8095238095238095,1040.0
BVG,1.8,1.8,1.8,1.8,1.8,500.0,16381.0,4460.0,2.3,0.8,0.0,0.0,18.0,9.75,6.9,0.29,3.0,0.0,2.8749999999999996,595.201758134424
BVH,102.0,107.0,107.0,102.0,108.4,390540.0,539271.0,374083.0,107.9,49.5,2291.0,44.5,69408.0,680.47,20.4,1.02,12.0,1930.0,2.17979797979798,1261.8331043204623
BVN,19.5,17.0,19.5,19.5,19.5,23900.0,9133.0,5210.0,19.5,6.0,0.0,0.0,98.0,5.0,0.0,0.0,5.0,0.0,3.25,547.4652359575167
BVS,19.8,19.8,19.8,19.3,19.9,47200.0,46467.0,44533.0,21.9,16.3,1688.0,11.7,1430.0,72.22,23.5,0.77,7.0,1407.0,1.3435582822085887,1554.2212753136635
BWA,12.6,12.6,0.0,0.0,0.0,0.0,12.0,0.0,12.6,4.3,0.0,0.0,34.0,2.7,0.0,0.0,5.0,0.0,2.9302325581395348,225000.0
BWE,23.75,23.9,23.8,23.0,23.8,416460.0,327006.0,348501.0,28.5,16.7,1373.0,17.3,3562.0,150.0,22.8,1.1,6.0,971.0,1.7065868263473054,458.7071796847764
BWS,25.5,25.5,0.0,0.0,0.0,0.0,3142.0,4294.0,34.4,15.6,2653.0,9.6,1530.0,60.0,0.0,0.0,25.0,0.0,2.2051282051282053,19096.117122851687
BXH,16.3,16.3,0.0,0.0,0.0,0.0,1772.0,4090.0,27.2,10.5,645.0,25.3,49.0,4.92,11.6,-0.08,5.0,1717.0,2.5904761904761906,2776.5237020316026
C12,14.0,14.0,0.0,0.0,0.0,0.0,1248.0,210.0,16.0,9.0,558.0,25.1,68.0,4.85,17.6,0.0,16.0,0.0,1.7777777777777777,3886.2179487179483
C21,24.2,24.3,24.3,24.2,24.3,2400.0,27551.0,11714.0,26.5,15.9,3568.0,6.8,468.0,19.62,26.7,0.01,26.0,1300.0,1.6666666666666665,712.133860839897
C32,36.1,36.2,36.45,35.6,36.6,6390.0,110460.0,42979.0,43.4,31.5,6655.0,5.4,493.0,13.66,32.1,0.54,21.0,7112.0,1.3777777777777778,123.66467499547348
C47,14.8,14.7,14.8,14.4,14.8,27250.0,95296.0,57025.0,23.5,9.9,1271.0,11.6,252.0,17.02,17.6,0.82,7.0,595.0,2.3737373737373737,178.60141034251174
C69,5.6,5.4,5.9,5.4,5.9,12900.0,70062.0,11510.0,16.0,4.4,940.0,6.0,28.0,5.0,10.8,0.04,7.0,0.0,3.6363636363636362,71.36536210784733
C71,10.5,10.5,0.0,0.0,0.0,0.0,344.0,0.0,11.5,7.2,713.0,14.7,52.0,5.0,12.5,0.0,12.0,1468.0,1.597222222222222,14534.883720930233
C92,10.5,10.5,0.0,0.0,0.0,0.0,30.0,20.0,13.2,6.0,123.0,85.4,56.0,5.31,12.1,-0.75,1.0,1033.0,2.1999999999999997,177000.0
CAD,0.8,0.8,0.0,0.0,0.0,0.0,971.0,110.0,1.4,0.4,-520.0,-1.5,7.0,8.8,-6.5,0.32,8.0,139.0,3.4999999999999996,9062.82183316169
CAG,42.4,42.4,0.0,0.0,0.0,0.0,101.0,0.0,47.1,11.0,228.0,186.0,585.0,13.8,10.5,1.02,2.0,277.0,4.281818181818182,136633.66336633664
CAN,25.3,28.0,25.3,25.3,25.3,200.0,571.0,50.0,30.0,19.6,980.0,25.8,126.0,5.0,23.5,0.31,4.0,125.0,1.530612244897959,8756.567425569177
CAP,33.6,33.6,33.9,33.6,33.9,4000.0,7270.0,6437.0,39.5,28.2,2648.0,12.7,160.0,4.76,13.4,0.05,22.0,4218.0,1.400709219858156,654.74552957359
CAT,6.9,6.9,0.0,0.0,0.0,0.0,3351.0,0.0,8.7,4.5,0.0,0.0,67.0,9.75,0.0,0.0,23.0,0.0,1.9333333333333331,2909.579230080573
CAV,59.0,57.3,57.3,57.3,61.3,487500.0,102822.0,153676.0,59.0,47.6,5648.0,10.4,3398.0,57.6,22.2,0.37,25.0,4196.0,1.2394957983193278,560.1913987278987
CBS,9.8,9.4,9.8,9.8,9.8,1000.0,1697.0,1069.0,16.5,7.2,0.0,0.0,35.0,3.53,0.0,0.0,0.0,0.0,2.2916666666666665,2080.1414260459633
CC1,18.0,18.0,0.0,0.0,0.0,0.0,185.0,0.0,30.0,11.0,1344.0,13.4,1980.0,110.0,18.0,0.0,17.0,493.0,2.727272727272727,594594.5945945947
