Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
HHS,4.25,4.32,4.26,4.2,4.4,1616390.0,2130784.0,1553392.0,5.7,3.8,335.0,12.7,1168.0,274.74,11.7,0.62,3.0,511.0,1.5000000000000002,128.93845645546432
HID,3.8,3.61,3.61,3.6,3.84,93960.0,254393.0,241565.0,13.1,2.8,930.0,4.1,120.0,31.61,11.8,0.7,8.0,657.0,4.678571428571429,124.25656366330836
HKB,2.5,2.4,2.5,2.4,2.5,109100.0,546529.0,155577.0,7.8,2.1,-1277.0,-2.0,129.0,51.6,10.2,2.35,-12.0,1138.0,3.714285714285714,94.41402011604143
HNG,6.38,6.22,6.3,6.2,6.45,4876160.0,1856233.0,4489864.0,12.6,6.2,1407.0,4.5,4894.0,767.14,13.7,1.02,9.0,-1244.0,2.032258064516129,413.27785897567816
HPG,60.6,58.8,59.0,59.0,61.1,5281840.0,4869844.0,6552140.0,63.9,25.0,4984.0,12.2,91935.0,1516.97,19.9,1.05,25.0,4352.0,2.556,311.50279146518864
HQC,2.38,2.27,2.31,2.26,2.39,3009980.0,5883881.0,5550696.0,3.6,2.2,149.0,16.0,1134.0,476.6,8.9,0.57,2.0,235.0,1.6363636363636362,81.00095838104136
HSG,23.7,23.0,23.45,23.35,23.9,1833090.0,3723884.0,2840661.0,33.3,21.1,3500.0,6.8,8295.0,350.0,15.7,0.92,22.0,5020.0,1.5781990521327012,93.98789006317058
HT1,15.05,14.5,14.5,14.5,15.1,73370.0,500386.0,227352.0,23.3,12.9,1239.0,12.1,5743.0,381.54,13.6,0.87,9.0,2131.0,1.8062015503875968,762.4913566726487
HUT,9.5,9.3,9.4,9.3,9.5,881700.0,1495858.0,1908364.0,13.2,8.9,1214.0,7.8,2385.0,251.06,12.9,1.06,9.0,1606.0,1.4831460674157302,167.83678664686087
HVG,5.36,5.03,5.0,5.0,5.38,495910.0,1098594.0,711362.0,9.3,4.4,-3140.0,-1.7,1217.0,222.04,9.9,1.6,-33.0,-358.0,2.113636363636364,202.11288246613398
HVN,53.0,48.0,49.9,49.9,53.0,1390000.0,1200444.0,2032934.0,67.3,24.0,2017.0,26.3,65059.0,1227.53,14.2,0.0,15.0,1672.0,2.8041666666666667,1022.5633182389183
IDI,12.9,12.3,12.3,12.3,13.0,4204430.0,3004060.0,3168271.0,13.4,3.7,1922.0,6.7,2343.0,181.61,12.3,1.38,16.0,578.0,3.6216216216216215,60.45485110150929
IJC,8.81,8.8,8.71,8.7,8.9,323030.0,512413.0,677962.0,13.0,7.6,1367.0,6.4,1208.0,137.1,12.1,0.79,11.0,1006.0,1.7105263157894737,267.5576146584884
ITA,3.17,3.1,3.15,3.11,3.18,1583990.0,3346671.0,3211820.0,4.9,2.9,54.0,58.7,2975.0,937.88,11.0,0.77,1.0,56.0,1.6896551724137934,280.24266502443766
ITC,14.2,14.4,14.2,14.2,14.2,360.0,90855.0,196567.0,16.1,11.0,1158.0,12.3,981.0,68.65,23.0,-0.1,5.0,375.0,1.4636363636363638,755.599581751142
JVC,5.1,4.95,5.1,5.0,5.21,900310.0,754307.0,816560.0,6.1,2.8,167.0,30.5,574.0,112.5,4.7,0.36,4.0,-6526.0,2.1785714285714284,149.14351848783053
