Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ,Exchange
BDG,31.5,31.5,0.0,0.0,0.0,0.0,139.0,220.0,38.4,22.3,9600.0,3.3,378000000000.0,12000000.0,19.6,0.0,49.0,5710.0,1.7219730941704035,86330.93525179857,BM
BDT,10.5,10.5,0.0,0.0,0.0,0.0,1067.0,0.0,13.3,7.6,2500.0,4.2,405000000000.0,38600000.0,12.7,0.0,20.0,1860.0,1.7500000000000002,36176.194939081535,BM
BDW,8.0,8.0,0.0,0.0,0.0,0.0,24.0,10.0,12.5,6.7,1100.0,7.3,99000000000.0,12410000.0,12.3,0.0,9.0,542.0,1.8656716417910448,517083.3333333333,BM
BED,51.0,51.0,0.0,0.0,0.0,0.0,75.0,100.0,51.0,14.4,9500.0,5.4,153000000000.0,3000000.0,20.6,-0.12,46.0,2312.0,3.5416666666666665,40000.0,BM
BEL,5.9,5.9,0.0,0.0,0.0,0.0,14.0,0.0,15.7,5.9,0.0,1966.7,35000000000.0,6000000.0,8.3,0.0,-1.0,0.0,2.661016949152542,428571.4285714285,BM
BFC,20.5,20.5,0.0,0.0,0.0,0.0,126545.0,53631.0,28.0,20.4,4400.0,4.6,1172000000000.0,57170000.0,20.8,0.53,26.0,6128.0,1.3725490196078431,451.7760480461496,BM
BGW,10.0,10.0,0.0,0.0,0.0,0.0,132.0,0.0,10.0,9.8,300.0,29.9,181000000000.0,18150000.0,10.2,0.0,3.0,197.0,1.0204081632653061,137499.99999999997,BM
BHA,14.5,14.5,0.0,0.0,0.0,0.0,1761.0,880.0,20.0,11.5,600.0,22.3,957000000000.0,66000000.0,10.2,0.0,6.0,995.0,1.7391304347826086,37478.70528109029,BM
BHC,2.3,2.3,0.0,0.0,0.0,0.0,749.0,21.0,3.1,1.7,0.0,0.0,10000000000.0,4500000.0,-14.8,0.76,57.0,0.0,1.823529411764706,6008.010680907877,BM
BHK,15.0,15.0,0.0,0.0,0.0,0.0,1.0,10.0,15.0,12.0,0.0,0.0,60000000000.0,3990000.0,0.0,0.0,13.0,0.0,1.25,3990000.0,BM
BHN,84.7,84.7,0.0,0.0,0.0,0.0,1030.0,458.0,114.0,75.6,2200.0,37.9,19633000000000.0,231800000.0,21.4,0.48,10.0,3253.0,1.5079365079365081,225048.5436893204,BM
BHP,12.5,12.5,0.0,0.0,0.0,0.0,184.0,0.0,12.5,4.9,1400.0,8.8,115000000000.0,9180000.0,17.1,0.0,2.0,0.0,2.5510204081632653,49891.30434782609,BM
BHT,2.7,2.7,0.0,0.0,0.0,0.0,2.0,130.0,4.8,2.4,-2600.0,-1.0,12000000000.0,4600000.0,0.4,0.06,-593.0,-2844.0,2.0,2300000.0,BM
BIC,22.5,22.5,0.0,0.0,0.0,0.0,6643.0,7842.0,32.2,22.3,1200.0,18.7,2639000000000.0,117280000.0,18.3,0.06,7.0,1175.0,1.4439461883408073,17654.67409303026,BM
BID,32.0,32.0,0.0,0.0,0.0,0.0,1267651.0,1690207.0,37.3,21.6,2200.0,14.9,109399000000000.0,3418720000.0,15.1,1.99,15.0,2019.0,1.7268518518518516,2696.893703393126,BM
BII,0.9,0.9,0.0,0.0,0.0,0.0,386549.0,182576.0,1.5,0.6,100.0,7.3,52000000000.0,57680000.0,10.7,1.19,1.0,53.0,2.5,149.2178223200681,BM
BKC,6.8,6.8,0.0,0.0,0.0,0.0,106.0,0.0,9.3,5.4,-800.0,-8.6,80000000000.0,11540000.0,12.3,0.14,-6.0,664.0,1.7222222222222223,108867.92452830188,BM
BLF,2.7,2.7,0.0,0.0,0.0,0.0,481.0,80.0,4.2,2.6,300.0,10.1,28000000000.0,10500000.0,13.8,-0.17,2.0,149.0,1.6153846153846154,21829.52182952183,BM
BLI,6.0,6.0,0.0,0.0,0.0,0.0,2803.0,1440.0,7.3,5.5,600.0,9.3,360000000000.0,60000000.0,11.1,0.0,6.0,506.0,1.3272727272727272,21405.636817695326,BM
BLT,18.0,18.0,0.0,0.0,0.0,0.0,62.0,50.0,23.3,12.6,0.0,0.0,72000000000.0,4000000.0,0.0,0.0,8.0,0.0,1.8492063492063493,64516.12903225806,BM
BLW,12.0,12.0,0.0,0.0,0.0,0.0,19.0,0.0,12.0,12.0,300.0,35.9,134000000000.0,11170000.0,10.3,0.0,3.0,0.0,1.0,587894.7368421053,BM
BMC,14.35,14.35,0.0,0.0,0.0,0.0,11878.0,2743.0,15.4,12.2,1100.0,13.2,178000000000.0,12390000.0,15.8,0.32,7.0,781.0,1.2622950819672132,1043.1048998147837,BM
BMF,40.3,40.3,0.0,0.0,0.0,0.0,24.0,0.0,47.3,18.3,4300.0,9.3,84000000000.0,4160000.0,23.8,0.0,36.0,1982.0,2.584699453551912,173333.33333333334,BM
BMG,25.0,25.0,0.0,0.0,0.0,0.0,693.0,0.0,25.0,14.7,0.0,0.0,132000000000.0,5290000.0,0.0,0.0,0.0,0.0,1.7006802721088436,7633.477633477633,BM
BMI,27.6,27.6,0.0,0.0,0.0,0.0,77265.0,36995.0,29.9,18.8,1900.0,14.3,2521000000000.0,91350000.0,24.8,0.74,8.0,1788.0,1.5904255319148934,1182.294700058241,BM
BMJ,17.0,17.0,0.0,0.0,0.0,0.0,1305.0,10.0,17.0,10.5,0.0,0.0,102000000000.0,6000000.0,0.0,0.0,15.0,0.0,1.619047619047619,4597.701149425287,BM
BMP,44.7,44.7,0.0,0.0,0.0,0.0,114290.0,47785.0,66.7,44.7,5200.0,8.5,3659000000000.0,81860000.0,30.0,0.49,17.0,5758.0,1.4921700223713645,716.2481406947239,BM
BMS,4.8,4.8,0.0,0.0,0.0,0.0,1379.0,314.0,8.7,4.7,0.0,0.0,240000000000.0,50000000.0,0.0,0.0,0.0,0.0,1.8510638297872337,36258.15808556925,BM
BOT,53.0,53.0,0.0,0.0,0.0,0.0,4619.0,0.0,58.6,14.0,0.0,0.0,2120000000000.0,40000000.0,0.0,0.0,0.0,0.0,4.185714285714286,8659.883091578264,BM
BPC,14.5,14.5,0.0,0.0,0.0,0.0,417.0,2370.0,19.3,11.8,1500.0,9.7,55000000000.0,3800000.0,25.9,-0.06,6.0,3703.0,1.635593220338983,9112.709832134293,BM
BQB,5.0,5.0,0.0,0.0,0.0,0.0,24.0,570.0,7.5,5.0,-700.0,-6.7,29000000000.0,5800000.0,12.0,0.0,-6.0,474.0,1.5,241666.66666666666,BM
BRC,9.81,9.81,0.0,0.0,0.0,0.0,89.0,118.0,11.0,7.3,1400.0,7.2,121000000000.0,12370000.0,16.1,0.3,8.0,1202.0,1.5068493150684932,138988.76404494382,BM
BRR,10.9,10.9,0.0,0.0,0.0,0.0,396.0,0.0,13.5,6.5,700.0,14.6,1226000000000.0,112500000.0,10.9,0.0,7.0,772.0,2.076923076923077,284090.9090909091,BM
BRS,14.0,14.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,6.4,1800.0,7.9,64000000000.0,4540000.0,12.8,0.0,20.0,0.0,2.1875,756666.6666666667,BM
BSA,15.2,15.2,0.0,0.0,0.0,0.0,7051.0,5930.0,23.1,15.1,3100.0,4.9,694000000000.0,45630000.0,15.7,0.0,23.0,2784.0,1.5298013245033113,6471.422493263367,BM
BSG,6.6,6.6,0.0,0.0,0.0,0.0,190.0,0.0,13.1,6.1,-400.0,-16.4,396000000000.0,60000000.0,9.8,0.0,-4.0,37.0,2.1475409836065573,315789.4736842105,BM
BSH,20.3,20.3,0.0,0.0,0.0,0.0,73.0,30.0,35.0,15.4,2400.0,8.6,365000000000.0,18000000.0,15.8,0.0,15.0,0.0,2.2727272727272725,246575.3424657534,BM
BSI,9.66,9.66,0.0,0.0,0.0,0.0,17332.0,23146.0,13.9,9.1,1700.0,5.5,1072000000000.0,110970000.0,13.0,0.85,13.0,1577.0,1.5274725274725276,6402.60789291484,BM
BSL,10.9,10.9,0.0,0.0,0.0,0.0,2296.0,150.0,17.0,10.9,700.0,15.2,490000000000.0,45000000.0,10.8,0.0,7.0,1088.0,1.5596330275229358,19599.303135888502,BM
BSP,17.3,17.3,0.0,0.0,0.0,0.0,4310.0,670.0,20.4,14.8,3200.0,5.5,216000000000.0,12500000.0,18.4,0.0,17.0,4485.0,1.3783783783783783,2900.232018561485,BM
BSQ,25.0,25.0,0.0,0.0,0.0,0.0,2025.0,860.0,28.9,17.8,2200.0,11.1,1125000000000.0,45000000.0,13.4,0.0,17.0,2398.0,1.6235955056179774,22222.222222222223,BM
BSR,13.4,13.4,0.0,0.0,0.0,0.0,1760479.0,1440901.0,22.0,12.0,1300.0,10.0,41547000000000.0,3100500000.0,10.1,0.0,11.0,0.0,1.8333333333333333,1761.1684092795201,BM
BST,50.1,50.1,0.0,0.0,0.0,0.0,3.0,10.0,50.1,10.0,1300.0,39.5,55000000000.0,1100000.0,12.7,0.06,10.0,1286.0,5.01,366666.6666666667,BM
BT1,17.5,17.5,0.0,0.0,0.0,0.0,46.0,159.0,20.5,14.5,0.0,0.0,92000000000.0,5250000.0,0.0,0.0,11.0,0.0,1.4137931034482758,114130.43478260869,BM
BT6,1.6,1.6,0.0,0.0,0.0,0.0,1007.0,247.0,5.3,1.3,400.0,4.4,53000000000.0,32990000.000000004,16.0,0.0,-36.0,0.0,4.076923076923077,32760.67527308838,BM
